number_of_features,estimators,accuracy_score,confusion_matriks
27,20 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
28,20 Trees,0.9826771653543307,"[[256   5   0]
 [  5 278   1]
 [  0   0  90]]"
29,20 Trees,0.9826771653543307,"[[256   5   0]
 [  6 278   0]
 [  0   0  90]]"
30,20 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
31,20 Trees,0.9858267716535433,"[[260   1   0]
 [  6 277   1]
 [  1   0  89]]"
32,20 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
33,20 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
34,20 Trees,0.9811023622047244,"[[258   3   0]
 [  8 276   0]
 [  1   0  89]]"
35,20 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
36,20 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
37,20 Trees,0.9874015748031496,"[[257   4   0]
 [  4 280   0]
 [  0   0  90]]"
38,20 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
39,20 Trees,0.9826771653543307,"[[257   4   0]
 [  6 277   1]
 [  0   0  90]]"
40,20 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
41,20 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
42,20 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
43,20 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
44,20 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
45,20 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
46,20 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
47,20 Trees,0.9874015748031496,"[[256   5   0]
 [  3 281   0]
 [  0   0  90]]"
48,20 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
49,20 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
50,20 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
51,20 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
52,20 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
53,20 Trees,0.984251968503937,"[[259   2   0]
 [  7 277   0]
 [  0   1  89]]"
54,20 Trees,0.988976377952756,"[[260   1   0]
 [  4 278   2]
 [  0   0  90]]"
55,20 Trees,0.988976377952756,"[[261   0   0]
 [  7 277   0]
 [  0   0  90]]"
56,20 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
57,20 Trees,0.9826771653543307,"[[258   3   0]
 [  8 276   0]
 [  0   0  90]]"
58,20 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
59,20 Trees,0.984251968503937,"[[259   2   0]
 [  8 276   0]
 [  0   0  90]]"
60,20 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
61,20 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  1   0  89]]"
62,20 Trees,0.9905511811023622,"[[260   1   0]
 [  4 279   1]
 [  0   0  90]]"
63,20 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
64,20 Trees,0.9874015748031496,"[[258   3   0]
 [  3 280   1]
 [  0   1  89]]"
65,20 Trees,0.9858267716535433,"[[260   1   0]
 [  7 277   0]
 [  1   0  89]]"
66,20 Trees,0.9874015748031496,"[[260   1   0]
 [  7 277   0]
 [  0   0  90]]"
67,20 Trees,0.984251968503937,"[[258   3   0]
 [  6 278   0]
 [  0   1  89]]"
68,20 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
69,20 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  1   0  89]]"
70,20 Trees,0.9858267716535433,"[[257   4   0]
 [  4 279   1]
 [  0   0  90]]"
71,20 Trees,0.9905511811023622,"[[261   0   0]
 [  5 279   0]
 [  1   0  89]]"
72,20 Trees,0.988976377952756,"[[259   2   0]
 [  4 280   0]
 [  0   1  89]]"
73,20 Trees,0.988976377952756,"[[259   2   0]
 [  4 279   1]
 [  0   0  90]]"
74,20 Trees,0.9874015748031496,"[[259   2   0]
 [  6 278   0]
 [  0   0  90]]"
75,20 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  0   1  89]]"
76,20 Trees,0.9795275590551181,"[[259   2   0]
 [  9 274   1]
 [  0   1  89]]"
77,20 Trees,0.9905511811023622,"[[260   1   0]
 [  3 281   0]
 [  1   1  88]]"
78,20 Trees,0.9826771653543307,"[[259   2   0]
 [  6 277   1]
 [  1   1  88]]"
79,20 Trees,0.988976377952756,"[[260   1   0]
 [  5 278   1]
 [  0   0  90]]"
80,20 Trees,0.988976377952756,"[[260   1   0]
 [  5 279   0]
 [  0   1  89]]"
81,20 Trees,0.9905511811023622,"[[259   2   0]
 [  3 281   0]
 [  0   1  89]]"
82,20 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
83,20 Trees,0.9905511811023622,"[[260   1   0]
 [  4 280   0]
 [  0   1  89]]"
84,20 Trees,0.984251968503937,"[[259   2   0]
 [  6 278   0]
 [  1   1  88]]"
85,20 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
86,20 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
87,20 Trees,0.9905511811023622,"[[259   2   0]
 [  4 280   0]
 [  0   0  90]]"
88,20 Trees,0.9826771653543307,"[[258   3   0]
 [  6 277   1]
 [  0   1  89]]"
89,20 Trees,0.9826771653543307,"[[259   2   0]
 [  8 276   0]
 [  0   1  89]]"
90,20 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
91,20 Trees,0.9905511811023622,"[[260   1   0]
 [  4 279   1]
 [  0   0  90]]"
92,20 Trees,0.9905511811023622,"[[258   3   0]
 [  3 281   0]
 [  0   0  90]]"
93,20 Trees,0.988976377952756,"[[260   1   0]
 [  6 278   0]
 [  0   0  90]]"
94,20 Trees,0.9921259842519685,"[[259   2   0]
 [  3 281   0]
 [  0   0  90]]"
95,20 Trees,0.9905511811023622,"[[260   1   0]
 [  5 279   0]
 [  0   0  90]]"
96,20 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
97,20 Trees,0.9858267716535433,"[[260   1   0]
 [  7 277   0]
 [  1   0  89]]"
98,20 Trees,0.9858267716535433,"[[259   2   0]
 [  6 278   0]
 [  0   1  89]]"
99,20 Trees,0.984251968503937,"[[259   2   0]
 [  7 277   0]
 [  1   0  89]]"
100,20 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  1   0  89]]"
101,20 Trees,0.9874015748031496,"[[259   2   0]
 [  5 279   0]
 [  0   1  89]]"
102,20 Trees,0.984251968503937,"[[259   2   0]
 [  8 276   0]
 [  0   0  90]]"
103,20 Trees,0.9937007874015747,"[[260   1   0]
 [  3 281   0]
 [  0   0  90]]"
104,20 Trees,0.9826771653543307,"[[257   4   0]
 [  7 277   0]
 [  0   0  90]]"
105,20 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
106,20 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
107,20 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
1,30 Trees,0.8393700787401575,"[[245  16   0]
 [ 33 240  11]
 [  0  42  48]]"
2,30 Trees,0.9133858267716536,"[[255   6   0]
 [ 34 239  11]
 [  0   4  86]]"
3,30 Trees,0.9338582677165355,"[[253   8   0]
 [ 19 255  10]
 [  0   5  85]]"
4,30 Trees,0.9574803149606299,"[[253   8   0]
 [ 13 266   5]
 [  0   1  89]]"
5,30 Trees,0.952755905511811,"[[250  11   0]
 [ 12 266   6]
 [  0   1  89]]"
6,30 Trees,0.9590551181102362,"[[252   9   0]
 [ 11 267   6]
 [  0   0  90]]"
7,30 Trees,0.9574803149606299,"[[254   7   0]
 [ 15 264   5]
 [  0   0  90]]"
8,30 Trees,0.9590551181102362,"[[252   9   0]
 [ 12 267   5]
 [  0   0  90]]"
9,30 Trees,0.968503937007874,"[[254   7   0]
 [ 12 271   1]
 [  0   0  90]]"
10,30 Trees,0.9653543307086614,"[[255   6   0]
 [ 15 268   1]
 [  0   0  90]]"
11,30 Trees,0.968503937007874,"[[253   8   0]
 [ 10 272   2]
 [  0   0  90]]"
12,30 Trees,0.9795275590551181,"[[257   4   0]
 [  7 275   2]
 [  0   0  90]]"
13,30 Trees,0.9811023622047244,"[[256   5   0]
 [  6 277   1]
 [  0   0  90]]"
14,30 Trees,0.9811023622047244,"[[256   5   0]
 [  5 278   1]
 [  0   1  89]]"
15,30 Trees,0.984251968503937,"[[256   5   0]
 [  4 279   1]
 [  0   0  90]]"
16,30 Trees,0.984251968503937,"[[258   3   0]
 [  5 277   2]
 [  0   0  90]]"
17,30 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
18,30 Trees,0.9858267716535433,"[[257   4   0]
 [  4 279   1]
 [  0   0  90]]"
19,30 Trees,0.984251968503937,"[[257   4   0]
 [  5 278   1]
 [  0   0  90]]"
20,30 Trees,0.9874015748031496,"[[257   4   0]
 [  3 280   1]
 [  0   0  90]]"
21,30 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
22,30 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
23,30 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
24,30 Trees,0.9826771653543307,"[[257   4   0]
 [  6 277   1]
 [  0   0  90]]"
25,30 Trees,0.9858267716535433,"[[259   2   0]
 [  6 277   1]
 [  0   0  90]]"
26,30 Trees,0.9826771653543307,"[[258   3   0]
 [  6 277   1]
 [  0   1  89]]"
27,30 Trees,0.984251968503937,"[[259   2   0]
 [  7 276   1]
 [  0   0  90]]"
28,30 Trees,0.9811023622047244,"[[255   6   0]
 [  5 278   1]
 [  0   0  90]]"
29,30 Trees,0.984251968503937,"[[258   3   0]
 [  6 277   1]
 [  0   0  90]]"
30,30 Trees,0.9858267716535433,"[[257   4   0]
 [  5 279   0]
 [  0   0  90]]"
31,30 Trees,0.9858267716535433,"[[260   1   0]
 [  7 276   1]
 [  0   0  90]]"
32,30 Trees,0.988976377952756,"[[258   3   0]
 [  3 280   1]
 [  0   0  90]]"
33,30 Trees,0.9858267716535433,"[[258   3   0]
 [  5 278   1]
 [  0   0  90]]"
34,30 Trees,0.9795275590551181,"[[257   4   0]
 [  7 276   1]
 [  1   0  89]]"
35,30 Trees,0.9858267716535433,"[[260   1   0]
 [  8 276   0]
 [  0   0  90]]"
36,30 Trees,0.9921259842519685,"[[260   1   0]
 [  4 280   0]
 [  0   0  90]]"
37,30 Trees,0.988976377952756,"[[258   3   0]
 [  4 280   0]
 [  0   0  90]]"
38,30 Trees,0.988976377952756,"[[259   2   0]
 [  5 279   0]
 [  0   0  90]]"
39,30 Trees,0.9858267716535433,"[[258   3   0]
 [  6 278   0]
 [  0   0  90]]"
40,30 Trees,0.988976377952756,"[[260   1   0]
 [  4 278   2]
 [  0   0  90]]"
41,30 Trees,0.984251968503937,"[[259   2   0]
 [  7 276   1]
 [  0   0  90]]"
42,30 Trees,0.9874015748031496,"[[258   3   0]
 [  5 279   0]
 [  0   0  90]]"
43,30 Trees,0.9905511811023622,"[[260   1   0]
 [  4 279   1]
 [  0   0  90]]"
