number_of_features,features,accuracy_score,rmse
21,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3']",0.984251968503937,0.12549116102763172
22,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30']",0.9858267716535433,0.11905136851988175
23,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3']",0.9874015748031496,0.11224270665326275
24,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91']",0.984251968503937,0.12549116102763172
25,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5']",0.984251968503937,0.12549116102763172
26,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5', 'amplitude__fft_coefficient__attr_""abs""__coeff_95']",0.988976377952756,0.1049934381151703
27,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5', 'amplitude__fft_coefficient__attr_""abs""__coeff_95', 'amplitude__fft_coefficient__attr_""abs""__coeff_76']",0.9826771653543307,0.13161624005292544
28,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5', 'amplitude__fft_coefficient__attr_""abs""__coeff_95', 'amplitude__fft_coefficient__attr_""abs""__coeff_76', 'amplitude__fft_coefficient__attr_""abs""__coeff_86']",0.9826771653543307,0.13161624005292544
29,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5', 'amplitude__fft_coefficient__attr_""abs""__coeff_95', 'amplitude__fft_coefficient__attr_""abs""__coeff_76', 'amplitude__fft_coefficient__attr_""abs""__coeff_86', 'amplitude__fft_coefficient__attr_""abs""__coeff_8']",0.9826771653543307,0.13161624005292544
30,"['amplitude__kurtosis', 'amplitude__ratio_beyond_r_sigma__r_3', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_9', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_3', 'amplitude__ratio_beyond_r_sigma__r_0.5', 'amplitude__binned_entropy__max_bins_10', 'amplitude__ratio_beyond_r_sigma__r_1', 'amplitude__lempel_ziv_complexity__bins_5', 'amplitude__ratio_beyond_r_sigma__r_2.5', 'amplitude__fft_aggregated__aggtype_""kurtosis""', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_7', 'amplitude__spkt_welch_density__coeff_2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_8', 'amplitude__autocorrelation__lag_4', 'amplitude__large_standard_deviation__r_0.1', 'amplitude__ratio_beyond_r_sigma__r_5', 'amplitude__large_standard_deviation__r_0.2', 'amplitude__energy_ratio_by_chunks__num_segments_10__segment_focus_0', 'amplitude__fft_coefficient__attr_""abs""__coeff_94', 'amplitude__index_mass_quantile__q_0.1', 'amplitude__autocorrelation__lag_3', 'amplitude__friedrich_coefficients__coeff_0__m_3__r_30', 'amplitude__partial_autocorrelation__lag_3', 'amplitude__fft_coefficient__attr_""abs""__coeff_91', 'amplitude__ratio_beyond_r_sigma__r_1.5', 'amplitude__fft_coefficient__attr_""abs""__coeff_95', 'amplitude__fft_coefficient__attr_""abs""__coeff_76', 'amplitude__fft_coefficient__attr_""abs""__coeff_86', 'amplitude__fft_coefficient__attr_""abs""__coeff_8', 'amplitude__partial_autocorrelation__lag_6']",0.9858267716535433,0.11905136851988175
